,st_dens,st_logg
6638,1.7997,4.51
6641,1.8328,4.52
6642,1.72,4.6
6645,1.9343,4.53
6662,2.3621,4.55
6671,2.2628,4.57
6674,1.4863,4.45
6675,1.5503,4.46
6680,1.8665,4.52
6690,1.0372,4.35
6708,2.0226,4.54
6731,0.9181,4.32
6738,0.6322,4.24
6741,1.4663,4.45
6748,1.1598,4.39
6759,0.7712,4.27
6776,1.83,4.5
6792,1.6516,4.49
6807,1.2359,4.4
6818,1.3372,4.41
6848,0.5033,4.15
6853,0.9073,4.31
6856,1.6219,4.47
6863,1.6013,4.46
6867,1.0137,4.37
6869,0.8652,4.31
6881,0.3375,4.02
6899,3.17,4.62
6901,3.69,4.62
6902,4.2228,4.71
6916,0.479,4.14
6929,1.45,4.46
6936,0.6372,4.22
6948,40.2576,5.12
6957,0.7125,4.26
6958,1.7094,4.5
6970,0.3392,4.04
6986,0.5038,4.14
6993,0.0026,2.65
6995,1.4609,4.44
7001,0.7339,4.28
7003,0.672,4.24
7004,0.558,4.3
7019,2.4776,4.58
7022,2.9846,4.59
7028,1.0099,4.35
7031,0.91,4.46
7037,1.0594,4.35
7043,1.29,4.42
7045,1.45,4.42
7047,1.3046,4.41
7051,0.9,4.34
7052,0.7666,4.27
7057,0.4189,4.1
7062,2.2931,4.56
7064,0.3457,4.05
7070,1.8832,4.53
7104,0.9206,4.33
7120,2.3196,4.55
7130,1.3207,4.41
7132,1.32,4.39
7145,0.8094,4.3
7148,2.2146,4.55
7159,0.5598,4.19
7171,2.4032,4.56
7175,0.3512,4.05
7183,1.3901,4.45
7184,1.233,4.4
7203,0.3802,4.09
7210,0.5323,4.19
7230,2.2275,4.54
7241,1.334,4.43
7246,0.1584,3.8
7253,0.4073,4.09
7254,0.472,4.16
7262,1.1788,4.4
7268,0.2455,3.93
7269,0.343,4.04
7271,0.305,4.02
7272,0.359,4.08
7292,0.1759,3.86
7309,0.8222,4.31
7315,1.9561,4.53
7327,0.284,3.97
7343,0.9514,4.33
7357,2.0481,4.52
7362,1.7503,4.49
7364,0.9324,4.33
7367,1.3835,4.45
7368,1.9554,4.49
7370,1.3189,4.43
7372,1.5172,4.46
7376,0.196,3.87
7387,0.7594,4.34
7409,1.8791,4.5
7411,1.6865,4.54
7415,0.2458,3.93
7419,1.5205,4.44
7439,0.197,3.87
7447,1.0031,4.35
7462,0.7408,4.26
7465,0.3025,4.14
7472,3.1,4.64
7473,3.06,4.49
7475,1.38,4.47
7478,2.66,4.58
7480,2.6414,4.6
7481,3.04,4.62
7505,1.3702,4.43
7508,2.6647,4.56
7510,1.649,4.47
7521,1.315,4.4
7531,2.8367,4.62
7537,1.373,4.42
7567,3.2461,4.62
7572,2.0105,4.55
7583,4.9491,4.73
7593,2.2338,4.56
7595,9.54,4.85
7596,1.4544,4.44
7600,2.4991,4.57
7604,2.59,4.58
7607,2.5323,4.58
7608,2.97,4.59
7609,3.0,4.59
7613,3.0294,4.59
