,st_age,st_lum
42573,12.5,-1.407
42575,7.1,-1.06
42578,8.0,-1.435
42582,5.6,0.332
42585,4.5,0.4
42591,5.7,0.419
42592,7.2,0.418
42594,4.27,0.419
42596,7.5,0.273
42598,3.1,0.336
42601,3.8,0.413
42619,0.8,0.176
42622,4.8,0.316
42626,2.1,0.439
42627,4.7,-0.287
42633,0.4,0.713
42635,6.7,-2.264
42637,1.4,-1.119
42638,16.8,-1.092
42664,6.7,-1.991
42665,6.7,-2.276
42666,6.7,-1.943
42675,3.88,0.822
42678,4.51,0.637
42680,2.9,0.362
42684,5.1,-1.768
42693,4.1,0.011
42710,0.12,-0.189
42714,1.2,-0.236
42722,4.92,0.803
42724,7.0,-1.693
42734,2.3,-0.377
42740,1.64,1.017
42747,2.69,0.695
42753,3.3,0.38
42756,2.7,0.462
42759,6.7,0.435
42765,4.5,-1.836
42766,5.3,0.009
42776,9.0,-0.489
42781,0.8,0.299
